Date,Sales Revenue (USD),Model,Engine Type,Color,Customer Region,Dealer Name,Units Sold,Discount (%),Customer Rating
2023-01-31,63257.94666102,X1,Diesel,Grey,Alexandria,BMW Luxor,7,1.9691961086077274,4.191204307227985
2023-04-30,27551.606158431037,5 Series,Hybrid,Blue,Giza,BMW Aswan,13,14.9657822302912,3.0325690995620853
2023-12-31,22741.970290957728,X5,Diesel,Grey,Aswan,BMW Giza,6,0.47008183897146616,3.0626710782276163
2023-08-31,49616.343048740135,5 Series,Diesel,Blue,Aswan,BMW Luxor,4,2.9619977757393494,4.15733950221037
2023-08-31,75226.98205168605,X1,Diesel,White,Cairo,BMW Luxor,7,9.778425055201227,3.8073722407328194
2023-03-31,20554.204558476307,3 Series,Diesel,Blue,Cairo,BMW Cairo,4,4.061701190057698,4.288271978063956
2023-08-31,25921.975109545114,5 Series,Diesel,Blue,Luxor,BMW Giza,9,12.398262538459136,4.9063899737926
2023-05-31,48982.12682052169,X1,Electric,Black,Aswan,BMW Giza,11,13.44526220629017,4.56951460932675
2023-04-30,43868.546466293235,X3,Petrol,Grey,Luxor,BMW Luxor,9,0.9070340250313325,3.3685698696580877
2023-09-30,64792.499257096264,5 Series,Hybrid,Black,Cairo,BMW Luxor,5,0.8727570734753626,4.050321844307601
2023-11-30,32420.526506058,X3,Petrol,Red,Aswan,BMW Aswan,2,2.207145222756422,4.829312977824822
2023-09-30,50285.06820848293,3 Series,Petrol,Grey,Cairo,BMW Luxor,12,8.547314870022557,4.6466216930585835
2023-11-30,75801.80839874106,X1,Diesel,Red,Aswan,BMW Cairo,14,10.966450696772526,4.111305571478468
2023-06-30,46345.94366522962,5 Series,Electric,Red,Aswan,BMW Cairo,7,1.9438366129791396,4.185562277427536
2023-08-31,82718.962374305,X1,Diesel,Grey,Alexandria,BMW Giza,12,5.46992812616965,4.571484060845167
2023-01-31,48676.65646972342,X5,Electric,Black,Luxor,BMW Alex,12,3.110714724640284,3.9397508203981273
2023-08-31,28928.277369520278,3 Series,Hybrid,Red,Alexandria,BMW Cairo,4,11.31151367680575,3.2426603113751895
2023-09-30,77882.0888138162,X3,Electric,Red,Alexandria,BMW Cairo,5,7.293942437185809,3.878532149601626
2023-01-31,24330.98334620596,3 Series,Petrol,Blue,Alexandria,BMW Cairo,11,9.721669310968924,3.0801611348061213
2023-07-31,61308.34316168546,X3,Petrol,White,Cairo,BMW Cairo,9,1.981504985141553,4.396078529082106
2023-03-31,21759.279118784623,3 Series,Petrol,Black,Alexandria,BMW Alex,2,9.500581137724671,4.818606942708381
2023-12-31,39360.94214746707,X1,Electric,White,Luxor,BMW Aswan,11,12.204791706593566,4.780754906244761
2023-05-31,33202.17033470304,3 Series,Electric,Grey,Alexandria,BMW Luxor,2,11.854423579903766,3.142168358100678
2023-03-31,42254.09440190862,X5,Hybrid,White,Giza,BMW Giza,12,7.413868368976948,3.5138578632202773
2023-10-31,97378.31664298421,3 Series,Diesel,Red,Aswan,BMW Giza,8,4.883440678887855,3.4763543926662344
2023-03-31,99996.73874018819,X3,Petrol,Black,Cairo,BMW Alex,3,9.551945356947178,3.5868871798241573
2023-11-30,50056.85406794099,3 Series,Hybrid,Black,Giza,BMW Aswan,1,14.779559671347288,3.820546876281411
2023-02-28,92131.07572826195,5 Series,Hybrid,White,Cairo,BMW Luxor,8,14.313241774813958,3.4470130134406043
2023-11-30,78419.16959021671,X5,Electric,Black,Alexandria,BMW Alex,1,1.7726832614792083,4.504978886996953
2023-06-30,90475.35728042822,5 Series,Electric,Grey,Luxor,BMW Luxor,4,9.7906251230787,4.971456124421751
2023-05-31,96714.87473129776,X1,Diesel,Red,Aswan,BMW Aswan,7,12.302857961083477,4.896185467966372
2023-02-28,95061.60448082772,3 Series,Electric,Grey,Giza,BMW Cairo,6,1.5842917578585562,4.504213619075328
2023-11-30,77628.55292635848,5 Series,Petrol,Blue,Cairo,BMW Cairo,4,5.6692971308200955,3.6717160060224114
2023-04-30,34376.534255252336,3 Series,Hybrid,Grey,Luxor,BMW Luxor,2,7.156694120615056,4.861493168623019
2023-11-30,34355.37132542415,X1,Petrol,Grey,Cairo,BMW Aswan,2,7.01572573477886,3.12042822840315
2023-12-31,49100.03172706192,X5,Electric,Grey,Cairo,BMW Alex,5,6.3317438555975984,4.346090740678686
2023-07-31,96651.8450423796,X3,Petrol,Grey,Giza,BMW Cairo,11,1.1861086509945773,3.5836142623509155
2023-11-30,53428.9022631639,3 Series,Petrol,Blue,Giza,BMW Aswan,8,1.2272599363459158,3.587386230266664
2023-06-30,60243.68938140469,X1,Electric,Grey,Aswan,BMW Luxor,8,6.943322506589491,4.620303024099746
2023-10-31,96113.8937217482,X3,Diesel,Red,Luxor,BMW Giza,10,0.15232817668272558,4.861166462591919
2023-09-30,38254.745916789994,X5,Petrol,Red,Alexandria,BMW Alex,6,1.7182816402044787,3.2383525929763435
2023-09-30,41531.487454414455,3 Series,Electric,Black,Luxor,BMW Luxor,6,8.520592120964736,4.126144661714718
2023-06-30,72668.47167763507,3 Series,Diesel,Blue,Aswan,BMW Cairo,3,10.719199649999064,3.683682955411527
2023-09-30,53169.51582774228,3 Series,Electric,Grey,Luxor,BMW Giza,6,10.71678359784327,3.75982502993926
2023-08-31,25493.234343495646,X1,Hybrid,Grey,Aswan,BMW Aswan,10,11.604288093971393,3.956909978296161
2023-06-30,23320.30665096388,3 Series,Electric,White,Alexandria,BMW Cairo,12,5.020644027736924,3.1332288050241894
2023-12-31,45350.35145051115,5 Series,Electric,White,Alexandria,BMW Luxor,5,12.676016567939556,3.5589413286001625
2023-02-28,42872.062916408555,5 Series,Hybrid,White,Aswan,BMW Alex,11,11.272387389634885,4.0945016941718295
2023-09-30,68941.91769081732,X5,Petrol,Black,Cairo,BMW Luxor,8,13.688553082144983,3.098225911965694
2023-11-30,20854.632445782794,X5,Hybrid,Black,Aswan,BMW Cairo,12,0.030858208410352028,3.9334858938207082
2023-07-31,37602.70772351662,X1,Petrol,Red,Luxor,BMW Alex,6,12.454079842907795,3.473481478655135
2023-09-30,97759.74248289701,X1,Petrol,Blue,Cairo,BMW Cairo,11,4.00549546278902,4.223923706202784
2023-10-31,74147.69211193112,5 Series,Electric,Grey,Giza,BMW Cairo,1,3.893660139951472,4.626313384084705
2023-11-30,85373.61762742416,X1,Diesel,Black,Alexandria,BMW Alex,6,0.8561723810259575,4.101053855073404
2023-07-31,57020.3481808556,X3,Petrol,White,Giza,BMW Luxor,2,0.23190177181111493,3.58364620300338
2023-09-30,92459.70781195554,X5,Petrol,Grey,Alexandria,BMW Luxor,6,11.84684410445593,4.262590901458626
2023-12-31,69028.02168405426,X1,Diesel,Grey,Cairo,BMW Luxor,6,8.765324676524836,3.018449940193478
2023-12-31,92489.9075453059,X5,Diesel,Grey,Aswan,BMW Cairo,3,11.718333262818673,4.375901283560838
2023-06-30,94718.60172401744,3 Series,Petrol,Black,Cairo,BMW Luxor,11,12.353745841624725,4.9696490580568575
2023-12-31,65554.17516149703,X3,Petrol,Black,Aswan,BMW Luxor,10,5.524755580193022,4.891742986214559
2023-01-31,33430.58472847406,X5,Petrol,Blue,Cairo,BMW Giza,1,0.3267001576021017,4.478227392460648
2023-09-30,23738.184696450066,X1,Electric,Grey,Aswan,BMW Luxor,7,7.978819621878431,3.5040267351917347
2023-04-30,58548.884197324696,X5,Petrol,White,Cairo,BMW Alex,7,0.006884816434691854,3.6524736142315204
2023-05-31,87492.5369232412,X5,Electric,Black,Aswan,BMW Aswan,6,13.804777185282353,4.280882181846152
2023-11-30,72989.498877048,3 Series,Hybrid,White,Alexandria,BMW Giza,6,12.617278398529956,3.441278617712194
2023-01-31,61450.0169647023,3 Series,Hybrid,Red,Alexandria,BMW Cairo,2,9.113554308552938,4.8044162810693845
2023-02-28,83204.9875679109,X1,Hybrid,White,Giza,BMW Giza,7,13.429779972733664,3.545400557032911
2023-06-30,40404.28970240377,X1,Hybrid,Blue,Giza,BMW Cairo,5,3.549435428603151,3.2801861848065004
2023-10-31,70528.13330319074,3 Series,Diesel,Black,Aswan,BMW Giza,7,11.42322553159294,4.486494516095553
2023-03-31,95755.32840846351,X5,Petrol,White,Aswan,BMW Aswan,4,12.235793174481376,3.625979514555987
2023-12-31,83365.475033501,X1,Hybrid,Blue,Aswan,BMW Luxor,7,1.4375376298673022,4.204673816351853
2023-11-30,67728.07976041955,3 Series,Diesel,Blue,Alexandria,BMW Luxor,5,8.322846618231466,4.853821311832361
2023-04-30,60580.080621984074,5 Series,Hybrid,White,Alexandria,BMW Alex,1,7.266100354934706,4.4413449413751405
2023-05-31,84071.13965139439,X3,Electric,Grey,Aswan,BMW Luxor,1,11.75973597847021,3.1218857404894216
2023-03-31,76544.24927454587,3 Series,Electric,White,Luxor,BMW Alex,10,10.000806587882844,4.24416556166448
2023-07-31,81065.16891704427,X1,Diesel,Grey,Aswan,BMW Giza,11,1.257832811683905,3.2668670762443446
2023-01-31,74446.3246282326,X3,Hybrid,Blue,Alexandria,BMW Aswan,6,10.751119219335234,3.0161849982478466
2023-09-30,95326.23358224667,X5,Diesel,Red,Aswan,BMW Giza,13,13.460977261121167,4.162354122543766
2023-10-31,29970.35291595584,X3,Petrol,Grey,Alexandria,BMW Giza,10,9.56734039470611,4.552032144719843
2023-03-31,87744.47683274126,X1,Petrol,Red,Alexandria,BMW Alex,4,2.104155645428194,4.385984494725767
2023-12-31,24203.541638759452,X3,Diesel,White,Aswan,BMW Luxor,6,11.802974930896985,3.6709949966128717
2023-01-31,86611.79939556571,3 Series,Petrol,Black,Giza,BMW Aswan,4,7.941471783150809,4.5994375428915015
2023-11-30,66756.41576618433,X3,Hybrid,Blue,Aswan,BMW Luxor,6,12.888376175108014,4.743182457141673
2023-10-31,47637.05674894451,3 Series,Hybrid,White,Alexandria,BMW Luxor,12,8.229387488300844,4.113107971345515
2023-03-31,71276.00799683307,5 Series,Electric,Black,Cairo,BMW Cairo,7,2.8996230280701867,4.809783133003705
2023-06-30,84721.21334984664,X1,Electric,White,Cairo,BMW Aswan,1,7.926221573904031,3.677624808128158
2023-09-30,42153.98807456839,X1,Petrol,Blue,Aswan,BMW Giza,9,10.31201131844164,4.508598055374625
2023-04-30,49875.24379196127,X1,Diesel,White,Cairo,BMW Giza,6,11.48107295996942,3.670778901912985
2023-01-31,74361.4486490266,3 Series,Hybrid,White,Giza,BMW Giza,12,6.4046953736376855,4.2340253344194485
2023-06-30,96729.85004486014,X5,Electric,Blue,Alexandria,BMW Luxor,1,10.960756947658513,3.842535332951937
2023-04-30,72687.55967575152,3 Series,Electric,Grey,Giza,BMW Cairo,4,4.7165288291257035,4.66867160352565
2023-01-31,92745.14486723919,3 Series,Hybrid,Grey,Giza,BMW Aswan,10,12.523467788423531,3.7071426011230013
2023-02-28,30447.999788346853,X3,Hybrid,Blue,Giza,BMW Alex,2,4.9150924667272395,4.223315524622281
2023-12-31,21034.133272722454,X5,Electric,Red,Alexandria,BMW Alex,8,13.468913892467604,4.675271482371616
2023-05-31,83079.97453306714,X3,Petrol,Blue,Giza,BMW Alex,5,2.748140733474846,3.694843827919212
2023-09-30,81708.96987800096,X1,Electric,Blue,Cairo,BMW Luxor,10,11.263868987011353,4.863331373632665
2023-10-31,67779.9837683984,5 Series,Electric,Red,Luxor,BMW Aswan,10,1.0549039650744785,3.46322469656553
2023-05-31,42208.06050267903,3 Series,Diesel,Black,Cairo,BMW Luxor,11,1.6231133034476153,3.081317560004732
2023-01-31,56127.650034446255,5 Series,Hybrid,Blue,Aswan,BMW Alex,9,12.391020670373539,4.880951336241511
2023-11-30,43539.96648514137,X3,Petrol,Blue,Giza,BMW Giza,6,10.893828603711016,3.4549894435076185
2023-11-30,97108.40268167388,X1,Hybrid,Black,Luxor,BMW Giza,8,14.236404312501097,3.1619760987567718
2023-10-31,25669.317937294334,X5,Hybrid,Red,Giza,BMW Giza,9,7.208027421043411,4.554861988104019
2023-08-31,58229.516045592034,X5,Electric,White,Cairo,BMW Luxor,4,9.21264513725094,3.2116618546649476
2023-05-31,24340.628286986903,X1,Electric,Red,Luxor,BMW Luxor,12,9.255279443192066,4.288693672555276
2023-03-31,83144.78716510779,X3,Diesel,Blue,Alexandria,BMW Aswan,10,6.198738616715625,3.6203536805693632
2023-07-31,83938.05888383288,X3,Electric,Red,Giza,BMW Luxor,13,3.1466641896272476,3.152493555790733
2023-01-31,24545.754936207923,3 Series,Petrol,Black,Aswan,BMW Aswan,11,1.5857072717872223,3.855921049764633
2023-03-31,47310.37858794581,X3,Petrol,White,Cairo,BMW Cairo,4,11.495767105776219,3.98748468413807
2023-02-28,64486.77965212821,X5,Electric,White,Cairo,BMW Alex,13,8.536558414049871,4.403446911687797
2023-08-31,91378.2268872134,5 Series,Petrol,White,Alexandria,BMW Luxor,2,9.05846595694374,4.230394566422696
2023-11-30,42789.84420212629,X1,Hybrid,Red,Cairo,BMW Giza,14,9.174842443586995,4.103226021064572
2023-04-30,23907.25025727762,X1,Hybrid,Grey,Alexandria,BMW Aswan,14,9.166026876901912,3.803033242860113
2023-10-31,53431.65208004648,3 Series,Electric,Black,Alexandria,BMW Giza,12,5.650030935124634,4.061283774171943
2023-11-30,38683.588362721086,X3,Petrol,Black,Giza,BMW Cairo,12,5.257399384768362,4.453837714611561
2023-12-31,54925.533589179744,X5,Electric,White,Giza,BMW Alex,5,6.89472800928297,3.9056233738931
2023-11-30,43154.27465938227,X3,Electric,Black,Aswan,BMW Giza,10,8.124851155027976,3.8114219362705617
2023-02-28,68551.12137957034,X1,Diesel,Grey,Alexandria,BMW Aswan,10,2.2796865599466534,4.334642590966946
2023-11-30,20964.013824762864,3 Series,Hybrid,Black,Luxor,BMW Giza,14,9.861861791923022,3.1147402481311617
2023-07-31,31951.33087921216,3 Series,Petrol,Blue,Alexandria,BMW Aswan,6,8.80238957978159,3.9634063255825733
2023-05-31,68408.94686792803,X3,Petrol,Black,Luxor,BMW Giza,9,3.203694204407514,4.9461961433434745
2023-08-31,87789.4780794583,X3,Diesel,Blue,Cairo,BMW Aswan,7,4.6065624863093175,3.223247071013968
2023-10-31,58431.978918967405,X1,Hybrid,White,Alexandria,BMW Giza,9,6.9416722742391,3.662055483853984
2023-01-31,61112.30083499205,X3,Electric,Black,Cairo,BMW Aswan,5,5.650227140467793,3.631782085608388
2023-10-31,42117.91534759819,X1,Hybrid,Black,Luxor,BMW Alex,1,4.101719408238552,4.660284109525052
2023-04-30,84005.65918972365,X1,Electric,Black,Alexandria,BMW Alex,6,9.712426752143378,4.2804734715342905
2023-04-30,97342.6345630611,5 Series,Petrol,Red,Aswan,BMW Cairo,8,5.463352327529773,3.632646445837308
2023-06-30,83525.79103277331,3 Series,Electric,White,Giza,BMW Luxor,1,12.33222202404935,3.201350134460851
2023-03-31,79305.42460666607,3 Series,Electric,Grey,Luxor,BMW Aswan,4,9.42087342334654,4.326398242081176
2023-04-30,92267.13909320818,3 Series,Diesel,Blue,Aswan,BMW Giza,9,7.8101447374747845,4.4131087509169635
2023-03-31,30729.769819306148,X5,Petrol,White,Luxor,BMW Alex,9,3.7404043569757075,4.441654075175448
2023-11-30,63522.42690585779,3 Series,Hybrid,Black,Aswan,BMW Cairo,12,2.4250705838890045,3.999616002111984
2023-08-31,55491.25138756628,X5,Electric,Grey,Alexandria,BMW Luxor,4,14.73781976858876,4.46433492649024
2023-11-30,75549.8182206238,3 Series,Electric,Black,Cairo,BMW Alex,11,12.970753649019318,4.453538165012409
2023-09-30,42580.758984322965,X3,Electric,Grey,Alexandria,BMW Aswan,7,14.615900848590645,3.707762046338985
2023-11-30,69622.17273830053,5 Series,Electric,Black,Aswan,BMW Giza,8,1.7713180901071057,4.839274653260965
2023-04-30,49826.80729837049,X1,Electric,Black,Alexandria,BMW Luxor,13,1.381420391845964,3.2472867291740375
2023-07-31,89395.63092428021,X1,Hybrid,Red,Alexandria,BMW Luxor,10,14.981011060348944,4.608616762951798
2023-03-31,79352.65724210162,5 Series,Diesel,Grey,Giza,BMW Alex,13,5.354154504096663,3.961727149996567
2023-08-31,52650.962914363234,X1,Hybrid,Black,Giza,BMW Giza,5,11.081049946313895,3.361625630301808
2023-04-30,71234.69067824526,5 Series,Petrol,White,Giza,BMW Giza,11,2.619341290060444,4.807592023548234
2023-12-31,61305.22116516199,5 Series,Diesel,Black,Luxor,BMW Luxor,11,14.437517693010214,4.402934459957528
2023-03-31,69601.24839290939,5 Series,Hybrid,Blue,Cairo,BMW Giza,10,12.02977607448034,3.8353313568470657
2023-07-31,77007.16517177512,X3,Diesel,Red,Alexandria,BMW Luxor,11,2.842306710035003,4.647470408041645
2023-12-31,56589.394261923495,5 Series,Hybrid,Red,Luxor,BMW Giza,9,9.4046555017437,3.5739472062153483
2023-01-31,63795.98924252939,3 Series,Diesel,Blue,Luxor,BMW Cairo,3,10.728142896447727,3.2653465463559446
2023-06-30,20382.44347697881,5 Series,Petrol,White,Aswan,BMW Aswan,14,2.0120079406317286,4.623093699000938
2023-01-31,75005.16511261414,X1,Electric,Grey,Giza,BMW Alex,11,0.8224464792062475,3.903060293617594
2023-08-31,78245.26502966863,X1,Petrol,Blue,Alexandria,BMW Luxor,6,4.687633405186945,4.660857032564856
2023-05-31,28339.29201345801,X3,Petrol,Grey,Luxor,BMW Luxor,12,2.0449101465532715,4.591011046255854
2023-02-28,39903.572967843174,X5,Hybrid,Black,Cairo,BMW Aswan,1,5.325161291298978,3.2360018579482612
2023-04-30,54883.58898330991,X5,Electric,Blue,Aswan,BMW Cairo,13,9.900219450694538,3.796828943499012
2023-02-28,61551.26074562714,X3,Hybrid,Red,Cairo,BMW Aswan,6,4.235867732848032,4.450486753908288
2023-04-30,70147.6497307228,X5,Hybrid,Grey,Alexandria,BMW Aswan,8,0.9583078793374922,4.214859928155735
2023-03-31,81809.05541177328,5 Series,Electric,Red,Alexandria,BMW Giza,14,2.841583873187141,4.029417492682855
2023-11-30,93380.89313820314,X5,Electric,White,Luxor,BMW Alex,10,13.86915052893263,4.980769739725987
2023-02-28,91463.13445041265,X5,Diesel,Red,Luxor,BMW Alex,4,3.4124144587440504,3.820212402835399
2023-08-31,63581.36682885336,X5,Petrol,Grey,Cairo,BMW Alex,6,4.885076179715783,3.745033961097744
2023-03-31,98893.25022715064,X5,Electric,Black,Alexandria,BMW Aswan,9,6.210176413695691,4.834335259124016
2023-10-31,30884.592719942346,5 Series,Hybrid,Black,Alexandria,BMW Aswan,6,10.56888433478022,3.990062012653003
2023-03-31,52365.83682152716,5 Series,Hybrid,Blue,Cairo,BMW Aswan,7,8.585671842809985,4.734811089616535
2023-07-31,49922.50263941976,X5,Diesel,Grey,Luxor,BMW Cairo,3,12.486578485929204,3.470543637251163
2023-03-31,66365.91599232325,X3,Petrol,Black,Giza,BMW Cairo,3,11.163492209698376,4.013051783888216
2023-03-31,20368.297264240515,X1,Hybrid,Black,Aswan,BMW Luxor,5,9.215617983127485,3.546230761151895
2023-10-31,77246.37980353361,3 Series,Hybrid,Grey,Giza,BMW Alex,10,0.5863330955102114,3.0436008718608543
2023-06-30,29139.713272610185,X5,Hybrid,White,Giza,BMW Luxor,1,10.602036481968572,3.2591241216535884
2023-06-30,92556.7383111979,5 Series,Hybrid,Blue,Luxor,BMW Aswan,6,9.449167547902237,4.7142087195838105
2023-02-28,74235.71233926338,3 Series,Diesel,Red,Aswan,BMW Luxor,1,3.212215626477416,3.3363522035718387
2023-02-28,52401.11769074961,X5,Electric,Black,Aswan,BMW Aswan,14,1.696364251072181,4.9988549707723005
2023-02-28,39610.822541500645,3 Series,Petrol,Black,Giza,BMW Luxor,10,4.931561277224902,4.397728191956291
2023-10-31,83527.64676797105,X1,Electric,Blue,Giza,BMW Luxor,1,2.004530583477726,3.577563978734265
2023-05-31,56806.30623917265,X5,Diesel,White,Giza,BMW Luxor,14,11.160819328544083,4.678027902539176
2023-01-31,93231.25888696074,X3,Diesel,Red,Alexandria,BMW Cairo,12,0.722382676703584,4.9037366629539285
2023-01-31,73025.81707876525,X3,Diesel,Red,Alexandria,BMW Aswan,5,7.2099043238552,3.7582103172375465
2023-03-31,71121.60522053664,X3,Diesel,Blue,Aswan,BMW Aswan,12,13.062658279616128,4.0546744786274465
2023-05-31,46865.13070970154,3 Series,Petrol,Red,Luxor,BMW Cairo,7,7.558940065514673,4.605149201419046
2023-07-31,75413.07884463135,X5,Diesel,White,Luxor,BMW Luxor,14,8.990741350351914,4.496528986916967
2023-12-31,97357.45513359208,3 Series,Hybrid,Red,Alexandria,BMW Giza,14,4.056965460701615,4.606162932421119
2023-08-31,21086.378385771517,5 Series,Hybrid,Black,Giza,BMW Giza,1,5.623307039711819,3.911182509332325
2023-01-31,34964.89825228632,X1,Electric,Grey,Cairo,BMW Cairo,12,8.904815384982506,3.0077452163729825
2023-02-28,67045.1149283874,X5,Hybrid,Blue,Cairo,BMW Cairo,7,14.165931957893303,3.3232171277382667
2023-01-31,33836.81350068122,3 Series,Diesel,Blue,Luxor,BMW Aswan,5,14.796192339038242,4.60800858570011
2023-09-30,62446.40402382665,5 Series,Hybrid,Grey,Cairo,BMW Aswan,6,12.626357378775712,4.695027038631526
2023-11-30,89788.52007011323,5 Series,Electric,Red,Alexandria,BMW Cairo,6,0.6504795067120983,4.264539587380688
2023-10-31,90196.16248595719,X3,Electric,Red,Aswan,BMW Luxor,3,13.855170181923329,4.359441498000527
2023-11-30,50892.51717795395,X3,Diesel,Black,Alexandria,BMW Aswan,7,14.047844522672651,3.863968269714303
2023-10-31,68124.87289907495,X5,Diesel,Grey,Aswan,BMW Giza,14,0.9172060230014495,4.642616429857605
2023-01-31,35133.86197337819,3 Series,Diesel,Red,Aswan,BMW Giza,8,12.426524257420372,4.679539895528259
2023-06-30,92901.45864845919,5 Series,Diesel,Black,Luxor,BMW Luxor,11,12.420220991786572,3.231293847619628
2023-08-31,48891.299107959734,X5,Electric,Grey,Alexandria,BMW Cairo,8,11.02987772954625,3.297503817553511
2023-10-31,41599.304133842285,X5,Diesel,Blue,Giza,BMW Cairo,7,4.717182744639216,3.0725560944604555
2023-10-31,73202.8054496549,X3,Petrol,Red,Giza,BMW Giza,3,1.2222445127472414,3.4215850660551226
2023-05-31,35019.93069461697,3 Series,Hybrid,Black,Cairo,BMW Alex,2,6.147530880550226,4.8774127825861076
2023-09-30,92384.83361344249,X5,Petrol,Grey,Cairo,BMW Luxor,4,1.3216385324741664,4.114805534088983
2023-12-31,89200.38542567733,5 Series,Electric,Blue,Alexandria,BMW Aswan,2,0.3708554410456155,3.74794768334786
2023-02-28,79144.27179358638,X3,Electric,Blue,Giza,BMW Aswan,2,5.079728654549168,4.691034895940707
2023-12-31,49647.92727722333,5 Series,Diesel,Blue,Luxor,BMW Cairo,4,11.959205366593034,3.2080915066573232
2023-12-31,61893.812755040184,X3,Diesel,White,Alexandria,BMW Aswan,12,9.99122491544224,4.819266238844282
2023-04-30,84383.4159059203,5 Series,Electric,White,Giza,BMW Alex,5,0.5945505162419906,3.6999796321623206
2023-06-30,42320.023774908084,5 Series,Hybrid,Red,Giza,BMW Giza,5,11.717544640015616,4.632561770492981
2023-03-31,58954.66622142803,3 Series,Diesel,Blue,Giza,BMW Luxor,9,6.788028228487348,4.0957022738787865
2023-11-30,52796.420880429934,X1,Hybrid,Black,Aswan,BMW Alex,1,0.10755810248907649,4.63324462350219
2023-08-31,28909.70129420764,X1,Diesel,White,Aswan,BMW Luxor,3,10.574309027551509,4.294936590766477
2023-03-31,78308.63241340799,5 Series,Diesel,Red,Aswan,BMW Aswan,4,9.897091977909959,3.447250520045686
2023-11-30,66197.8994765613,X3,Hybrid,White,Aswan,BMW Aswan,2,2.9878508831778854,4.609282285968141
2023-07-31,55633.20230295451,X1,Diesel,Red,Luxor,BMW Cairo,12,1.029764984059628,4.2922202704341474
2023-02-28,42633.502628342,X1,Electric,Red,Giza,BMW Giza,14,9.67818285566528,4.7687535840588
2023-05-31,76986.98427668378,5 Series,Petrol,Blue,Aswan,BMW Alex,2,0.1309768471535555,4.959197263240848
2023-10-31,90162.08067486463,X1,Electric,White,Giza,BMW Aswan,8,9.422335118132413,3.7029969936511398
2023-05-31,67333.85795091093,3 Series,Electric,Grey,Alexandria,BMW Giza,7,8.3162434693782,4.111537917469027
2023-08-31,31654.0498762566,X1,Electric,Black,Aswan,BMW Cairo,5,5.850503921004192,4.421809829276464
2023-06-30,64621.38179931024,5 Series,Petrol,White,Cairo,BMW Cairo,11,2.888829217723148,3.3648070119827738
2023-01-31,94162.68455126276,3 Series,Electric,Grey,Aswan,BMW Giza,12,1.2887512327475386,3.402688355721912
2023-06-30,39238.48198160289,3 Series,Hybrid,Black,Giza,BMW Luxor,12,3.9682691952797136,3.667926936639369
2023-12-31,44550.19263084803,X3,Hybrid,White,Giza,BMW Luxor,10,14.687785499354739,4.021741365368981
2023-12-31,27543.072125785082,X1,Hybrid,Red,Giza,BMW Luxor,14,14.038840346281876,4.677119101362961
2023-07-31,30079.65928936776,X1,Hybrid,Black,Alexandria,BMW Alex,6,14.589067803433469,4.000735004693774
2023-07-31,49133.42078036087,X1,Electric,Black,Aswan,BMW Alex,12,6.3888575970759245,3.303426022820819
